Identifier,Latitude,Longitude
Outfall 001:,"34 44' 30""","92 20' 30"""
Outfall 002:,"34 43' 30""","92 21' 30"""
Outfall 003:,"34 45' 15""","92 26' 00"""
Outfall 005:,"34 44' 00""","92 14' 30"""
Outfall 006:,"34 42' 00""","92 15' 36"""
